B365H,B365A,B365D
8.0,1.44,4.75
5.25,1.75,3.8
1.44,8.0,4.75
2.45,3.0,3.5
2.38,3.25,3.4
1.95,4.2,3.6
2.2,3.5,3.5
2.1,4.0,3.3
1.4,9.0,5.0
1.83,4.75,3.75
1.95,4.0,3.75
4.5,1.85,3.8
1.5,7.5,4.5
3.9,2.05,3.6
1.3,12.0,5.75
2.2,3.6,3.4
3.4,2.3,3.4
4.5,1.91,3.6
2.8,2.8,3.2
1.4,8.0,5.5
6.0,1.6,4.33
1.7,5.5,4.0
1.25,12.0,7.0
1.33,11.0,5.5
6.0,1.55,4.6
1.75,5.25,3.8
1.8,4.75,3.8
1.29,12.0,6.0
4.5,1.83,3.9
1.67,5.75,4.0
2.15,3.6,3.6
1.44,8.0,4.75
1.4,9.5,5.0
3.2,2.4,3.4
2.3,3.4,3.4
4.2,2.0,3.5
2.4,3.2,3.4
2.0,4.0,3.6
1.2,21.0,7.0
4.75,1.83,3.75
1.33,11.0,5.5
1.29,10.0,5.5
4.0,1.95,3.75
1.57,6.5,4.33
3.8,2.1,3.5
2.45,3.1,3.4
2.3,3.4,3.4
1.73,5.5,3.8
1.83,5.0,3.6
8.5,1.44,4.75
1.62,6.5,4.0
2.45,3.1,3.4
