Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,Squad_Home,Age_Home,Foreigners_Home,Total Market Value_Home,Average Market Value_Home,Squad_Away,Age_Away,Foreigners_Away,Total Market Value_Away,Average Market Value_Away
E0,2010-09-25,Liverpool,Sunderland,2.0,2.0,D,1.0,1.0,D,S Attwell,13.0,10.0,5.0,1.0,15.0,7.0,3.0,3.0,3.0,1.0,0.0,0.0,1.44,4.33,7.5,2011,42,23.5,25,365500000.0,8700000.0,39,23.7,20,137330000.0,3520000.0
E0,2010-09-25,Man City,Chelsea,1.0,0.0,H,0.0,0.0,D,A Marriner,8.0,15.0,6.0,4.0,10.0,12.0,3.0,4.0,2.0,3.0,0.0,0.0,3.6,3.3,2.1,2011,45,23.4,27,382530000.0,8500000.0,33,24.5,22,446150000.0,13520000.0
E0,2010-09-25,West Ham,Tottenham,1.0,0.0,H,1.0,0.0,H,M Atkinson,22.0,17.0,15.0,11.0,10.0,11.0,14.0,7.0,2.0,0.0,0.0,0.0,3.5,3.4,2.1,2011,39,25.1,23,158950000.0,4080000.0,38,24.7,21,296000000.0,7790000.0
E0,2010-09-26,Bolton,Man United,2.0,2.0,D,1.0,1.0,D,P Dowd,15.0,12.0,9.0,6.0,16.0,18.0,7.0,12.0,1.0,2.0,0.0,0.0,7.5,4.0,1.5,2011,34,25.4,18,93400000.0,2750000.0,43,24.1,29,384150000.0,8930000.0
E0,2010-09-26,Newcastle,Stoke,1.0,2.0,A,1.0,0.0,H,M Jones,11.0,8.0,7.0,2.0,8.0,11.0,3.0,4.0,0.0,1.0,0.0,0.0,1.91,3.4,4.2,2011,38,23.7,17,95650000.0,2520000.0,33,27.0,20,96400000.0,2920000.0
E0,2010-09-26,Wolves,Aston Villa,1.0,2.0,A,0.0,1.0,A,M Halsey,14.0,10.0,12.0,8.0,15.0,19.0,5.0,4.0,1.0,2.0,0.0,0.0,2.88,3.25,2.5,2011,42,23.7,23,76800000.0,1830000.0,39,25.1,20,207750000.0,5330000.0
E0,2010-10-02,Birmingham,Everton,0.0,2.0,A,0.0,0.0,D,P Dowd,6.0,11.0,3.0,6.0,5.0,11.0,6.0,5.0,0.0,0.0,0.0,0.0,2.88,3.1,2.63,2011,34,25.8,18,102900000.0,3030000.0,32,23.9,21,178530000.0,5580000.0
E0,2010-10-02,Stoke,Blackburn,1.0,0.0,H,0.0,0.0,D,H Webb,18.0,7.0,11.0,4.0,8.0,13.0,8.0,6.0,2.0,3.0,0.0,0.0,2.25,3.2,3.4,2011,33,27.0,20,96400000.0,2920000.0,37,25.1,29,95100000.0,2570000.0
E0,2010-10-02,Sunderland,Man United,0.0,0.0,D,0.0,0.0,D,C Foy,14.0,10.0,8.0,4.0,10.0,6.0,10.0,4.0,1.0,2.0,0.0,0.0,5.0,3.5,1.75,2011,39,23.7,20,137330000.0,3520000.0,43,24.1,29,384150000.0,8930000.0
E0,2010-10-02,Tottenham,Aston Villa,2.0,1.0,H,1.0,1.0,D,M Clattenburg,19.0,13.0,10.0,4.0,12.0,19.0,10.0,4.0,1.0,3.0,0.0,0.0,1.91,3.5,4.0,2011,38,24.7,21,296000000.0,7790000.0,39,25.1,20,207750000.0,5330000.0
E0,2010-10-02,West Brom,Bolton,1.0,1.0,D,0.0,0.0,D,P Walton,17.0,10.0,9.0,5.0,8.0,10.0,7.0,4.0,3.0,2.0,0.0,0.0,2.1,3.25,3.75,2011,37,24.3,24,85030000.0,2300000.0,34,25.4,18,93400000.0,2750000.0
E0,2010-10-02,West Ham,Fulham,1.0,1.0,D,0.0,1.0,A,A Marriner,12.0,17.0,5.0,5.0,15.0,8.0,2.0,3.0,3.0,1.0,0.0,0.0,2.25,3.25,3.3,2011,39,25.1,23,158950000.0,4080000.0,34,27.5,27,111950000.0,3290000.0
E0,2010-10-02,Wigan,Wolves,2.0,0.0,H,0.0,0.0,D,L Mason,24.0,2.0,17.0,0.0,9.0,12.0,3.0,3.0,1.0,2.0,0.0,1.0,2.25,3.25,3.3,2011,35,24.0,24,72100000.0,2060000.0,42,23.7,23,76800000.0,1830000.0
E0,2010-10-03,Chelsea,Arsenal,2.0,0.0,H,1.0,0.0,H,M Dean,11.0,13.0,6.0,5.0,7.0,12.0,10.0,10.0,1.0,1.0,0.0,0.0,1.73,3.6,5.0,2011,33,24.5,22,446150000.0,13520000.0,34,23.4,27,304380000.0,8950000.0
E0,2010-10-03,Liverpool,Blackpool,1.0,2.0,A,0.0,2.0,A,M Jones,19.0,11.0,10.0,7.0,11.0,10.0,5.0,2.0,2.0,1.0,0.0,0.0,1.33,5.0,10.0,2011,42,23.5,25,365500000.0,8700000.0,45,24.3,23,38100000.0,886000.0
E0,2010-10-03,Man City,Newcastle,2.0,1.0,H,1.0,1.0,D,M Atkinson,9.0,8.0,5.0,4.0,11.0,13.0,4.0,4.0,3.0,2.0,0.0,0.0,1.44,4.0,8.5,2011,45,23.4,27,382530000.0,8500000.0,38,23.7,17,95650000.0,2520000.0
E0,2010-10-16,Arsenal,Birmingham,2.0,1.0,H,1.0,1.0,D,M Atkinson,18.0,6.0,13.0,4.0,16.0,9.0,7.0,3.0,2.0,2.0,1.0,0.0,1.29,5.5,11.0,2011,34,23.4,27,304380000.0,8950000.0,34,25.8,18,102900000.0,3030000.0
E0,2010-10-16,Aston Villa,Chelsea,0.0,0.0,D,0.0,0.0,D,L Mason,11.0,13.0,5.0,6.0,11.0,11.0,9.0,5.0,4.0,3.0,0.0,0.0,5.0,3.6,1.73,2011,39,25.1,20,207750000.0,5330000.0,33,24.5,22,446150000.0,13520000.0
E0,2010-10-16,Bolton,Stoke,2.0,1.0,H,1.0,0.0,H,P Walton,11.0,8.0,6.0,3.0,10.0,8.0,5.0,6.0,2.0,2.0,1.0,0.0,2.2,3.2,3.5,2011,34,25.4,18,93400000.0,2750000.0,33,27.0,20,96400000.0,2920000.0
E0,2010-10-16,Fulham,Tottenham,1.0,2.0,A,1.0,1.0,D,M Dean,11.0,14.0,5.0,6.0,9.0,10.0,4.0,11.0,1.0,1.0,0.0,0.0,2.88,3.25,2.5,2011,34,27.5,27,111950000.0,3290000.0,38,24.7,21,296000000.0,7790000.0
E0,2010-10-16,Man United,West Brom,2.0,2.0,D,2.0,0.0,H,M Jones,16.0,7.0,9.0,2.0,10.0,7.0,3.0,2.0,1.0,2.0,0.0,0.0,1.25,5.75,12.0,2011,43,24.1,29,384150000.0,8930000.0,37,24.3,24,85030000.0,2300000.0
E0,2010-10-16,Newcastle,Wigan,2.0,2.0,D,0.0,2.0,A,M Halsey,9.0,8.0,4.0,4.0,13.0,14.0,6.0,3.0,2.0,1.0,0.0,0.0,1.83,3.5,4.5,2011,38,23.7,17,95650000.0,2520000.0,35,24.0,24,72100000.0,2060000.0
E0,2010-10-16,Wolves,West Ham,1.0,1.0,D,1.0,0.0,H,M Clattenburg,9.0,9.0,5.0,7.0,10.0,8.0,8.0,3.0,0.0,1.0,0.0,0.0,2.25,3.2,3.4,2011,42,23.7,23,76800000.0,1830000.0,39,25.1,23,158950000.0,4080000.0
E0,2010-10-17,Blackpool,Man City,2.0,3.0,A,0.0,0.0,D,P Dowd,16.0,13.0,5.0,8.0,9.0,9.0,3.0,9.0,0.0,2.0,0.0,0.0,5.5,4.0,1.62,2011,45,24.3,23,38100000.0,886000.0,45,23.4,27,382530000.0,8500000.0
E0,2010-10-17,Everton,Liverpool,2.0,0.0,H,1.0,0.0,H,H Webb,9.0,15.0,6.0,9.0,10.0,9.0,8.0,7.0,2.0,2.0,0.0,0.0,2.4,3.25,3.0,2011,32,23.9,21,178530000.0,5580000.0,42,23.5,25,365500000.0,8700000.0
E0,2010-10-18,Blackburn,Sunderland,0.0,0.0,D,0.0,0.0,D,L Probert,9.0,16.0,3.0,7.0,12.0,11.0,5.0,3.0,2.0,1.0,1.0,0.0,2.1,3.3,3.6,2011,37,25.1,29,95100000.0,2570000.0,39,23.7,20,137330000.0,3520000.0
E0,2010-10-23,Birmingham,Blackpool,2.0,0.0,H,1.0,0.0,H,A Taylor,17.0,14.0,8.0,6.0,8.0,16.0,9.0,10.0,1.0,1.0,0.0,0.0,1.83,3.6,4.33,2011,34,25.8,18,102900000.0,3030000.0,45,24.3,23,38100000.0,886000.0
E0,2010-10-23,Chelsea,Wolves,2.0,0.0,H,1.0,0.0,H,L Probert,17.0,12.0,10.0,9.0,8.0,8.0,8.0,8.0,1.0,2.0,0.0,0.0,1.13,8.5,19.0,2011,33,24.5,22,446150000.0,13520000.0,42,23.7,23,76800000.0,1830000.0
E0,2010-10-23,Sunderland,Aston Villa,1.0,0.0,H,1.0,0.0,H,M Halsey,13.0,11.0,6.0,7.0,11.0,13.0,4.0,11.0,1.0,2.0,0.0,0.0,2.4,3.25,3.0,2011,39,23.7,20,137330000.0,3520000.0,39,25.1,20,207750000.0,5330000.0
E0,2010-10-23,Tottenham,Everton,1.0,1.0,D,1.0,1.0,D,M Jones,13.0,7.0,8.0,3.0,15.0,14.0,4.0,4.0,3.0,1.0,0.0,0.0,2.1,3.25,3.75,2011,38,24.7,21,296000000.0,7790000.0,32,23.9,21,178530000.0,5580000.0
E0,2010-10-23,West Brom,Fulham,2.0,1.0,H,2.0,1.0,H,K Friend,14.0,9.0,7.0,3.0,3.0,8.0,7.0,5.0,0.0,0.0,0.0,0.0,2.2,3.25,3.4,2011,37,24.3,24,85030000.0,2300000.0,34,27.5,27,111950000.0,3290000.0
E0,2010-10-23,West Ham,Newcastle,1.0,2.0,A,1.0,1.0,D,C Foy,5.0,13.0,1.0,8.0,12.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,2.38,3.25,3.1,2011,39,25.1,23,158950000.0,4080000.0,38,23.7,17,95650000.0,2520000.0
E0,2010-10-23,Wigan,Bolton,1.0,1.0,D,0.0,0.0,D,H Webb,15.0,9.0,9.0,2.0,8.0,14.0,5.0,0.0,0.0,2.0,0.0,0.0,2.38,3.25,3.1,2011,35,24.0,24,72100000.0,2060000.0,34,25.4,18,93400000.0,2750000.0
E0,2010-10-24,Liverpool,Blackburn,2.0,1.0,H,0.0,0.0,D,P Dowd,17.0,4.0,10.0,2.0,17.0,12.0,15.0,4.0,2.0,3.0,0.0,0.0,1.67,3.6,5.5,2011,42,23.5,25,365500000.0,8700000.0,37,25.1,29,95100000.0,2570000.0
