Season,HomeTeam,AwayTeam,Number In,Number Out,Average Age of Departures,Average Age of Arrivals,Total Market Value Departures (millions),Total Market Value Arrivals (millions),Income (millions),Expenditures (millions)
2011,Wolverhampton Wanderers,Wolverhampton Wanderers,33,34,23.1,22,39.9,37.76,2.96,13.74
2011,Norwich City,Norwich City,22,20,22.9,21.3,7.98,16.16,0.57,17.39
2011,Fulham FC,Fulham FC,22,16,27.2,23.2,41.61,47.48,8.74,20.92
2010,Manchester City,Manchester City,36,28,24.1,22,131.84,238.4,42.35,209.31
2010,Manchester United,Manchester United,26,26,21.3,20.2,29.98,38.53,19.74,33.4
2010,Tottenham Hotspur,Tottenham Hotspur,45,39,21.1,20.9,53.55,89.15,3.35,30.32
2010,Liverpool FC,Liverpool FC,25,26,23.6,23,162.05,104.31,115.71,111.18
2010,Chelsea FC,Chelsea FC,25,25,22.3,20.4,114.34,126.71,18.81,138.51
2010,Arsenal FC,Arsenal FC,22,26,22.1,21.8,64.5,54.69,10.94,26.22
2010,Blackpool FC,Blackpool FC,28,23,24.7,24.9,19.27,29.47,0.798,6.53
2010,Everton FC,Everton FC,13,14,24.6,21.6,42.01,10.55,7.52,1.94
2010,Aston Villa,Aston Villa,22,21,24,23,86.41,88.24,32.38,42.64
2010,Newcastle United,Newcastle United,25,18,22.8,22,33.72,51.87,47.6,15.94
2010,Wigan Athletic,Wigan Athletic,24,21,25.8,23.3,49.7,40.7,3.88,13
2010,Stoke City,Stoke City,25,24,26,24.6,48.22,49.08,7.72,24.05
2010,West Ham United,West Ham United,19,20,23.9,24.5,50.5,67.43,5.64,18.04
2010,Blackburn Rovers,Blackburn Rovers,29,29,23.6,22.4,30.5,37.08,0.314,5.76
2010,West Bromwich Albion,West Bromwich Albion,30,27,23.2,23.6,48.31,71.45,0.969,15.77
2010,Sunderland AFC,Sunderland AFC,30,30,24.5,23.9,96.36,84.42,47.62,33.17
2010,Bolton Wanderers,Bolton Wanderers,18,18,23.9,22.9,26.62,35.8,1.6,6.15
2010,Wolverhampton Wanderers,Wolverhampton Wanderers,33,30,23.1,21.8,31.09,40.13,7.34,22.97
2010,Birmingham City,Birmingham City,25,21,24.8,24,39.44,62.04,0.2,29.18
2010,Fulham FC,Fulham FC,16,22,24.8,25.4,29.9,40.01,14.38,12.6
